City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Ambilobe,MG,64.04,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
308,Inhambane,MZ,66.2,clear sky,-23.86,35.38,Oceano
309,Ahipara,NZ,60.44,scattered clouds,-35.17,173.17,Ahipara Holiday Park
311,Chilca,PE,60.8,overcast clouds,-12.52,-76.74,Playa Punta Yaya - Las Salinas
312,Yar-Sale,RU,48.24,light rain,66.83,70.83,Yalemd
313,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
314,Manggar,ID,82.69,clear sky,-2.88,108.27,Guest Hotel
315,Tambura,SS,67.84,light rain,5.6,27.47,Guest hous Tambura
316,Meadow Lake,US,78.8,smoke,34.8,-106.54,JKL Inc. R.V Park and Storage
317,Amahai,ID,80.42,scattered clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
318,Port Macquarie,AU,72.0,moderate rain,-31.43,152.92,Rydges Port Macquarie
320,Kisangani,CD,71.19,clear sky,0.52,25.2,Grand Ramela Hotel
321,Dicabisagan,PH,83.7,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
322,Grand-Lahou,CI,75.43,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
323,Sokoto,NG,78.91,clear sky,13.06,5.24,RG Palace
324,Novorzhev,RU,57.72,overcast clouds,57.03,29.33,D. Maloye Nikulino
325,Nouadhibou,MR,84.2,broken clouds,20.93,-17.03,El Medina
326,Susuman,RU,52.02,scattered clouds,62.78,148.17,"Oao ""Susumanzoloto"""
327,Sept-Iles,CA,52.0,few clouds,50.2,-66.38,Comfort Inn
328,Juxtlahuaca,MX,71.69,overcast clouds,17.43,-99.15,"Casa de Huespedes ""El centro"""
329,Constantine,DZ,59.0,few clouds,36.37,6.61,Grand Hotel Cirta
330,Port-Gentil,GA,75.2,overcast clouds,-0.72,8.78,Fengshui Residence
331,Itaituba,BR,83.91,broken clouds,-4.28,-55.98,Hotel Campos
333,Shakawe,BW,64.42,clear sky,-18.37,21.85,Ditlhapi Guest House
334,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
335,Poum,NC,73.96,clear sky,-20.23,164.02,Gîte kajeon
338,Roald,NO,50.0,light intensity drizzle,62.58,6.13,Flem Cabins
339,Taltal,CL,55.87,scattered clouds,-25.4,-70.48,Residencial Karime
340,Wuhu,CN,71.6,heavy intensity rain,31.34,118.38,JI Hotel Wuhu Pedestrian Street
341,Vila Franca Do Campo,PT,64.4,few clouds,37.72,-25.43,Pestana Bahia Praia
342,Nhulunbuy,AU,82.4,scattered clouds,-12.23,136.77,East Arnhem Real Estate
343,Moose Factory,CA,46.4,few clouds,51.26,-80.61,Cree Village Eco Lodge
344,Isilkul,RU,51.87,clear sky,54.91,71.27,Perekrestok Mini-Hotel
346,Grand Gaube,MU,68.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
347,Shimoda,JP,75.2,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
348,Mangrol,IN,80.85,scattered clouds,21.12,70.12,Hotel The Royal Honours
349,Hami,CN,64.98,clear sky,42.8,93.45,Laoyutang Resort
350,Helsinki,FI,50.0,scattered clouds,60.17,24.94,Scandic Hotel Simonkenttä
351,Lasa,IT,59.0,broken clouds,46.62,10.7,Pension Feldgärtenhof
352,Samarai,PG,79.74,light rain,-10.62,150.67,Nuli Sapi
353,Vila Velha,BR,75.99,clear sky,-20.33,-40.29,Hotel Vitória Palace
355,Areosa,PT,68.0,broken clouds,41.72,-8.86,Hotel Flôr de Sal
356,Presidencia Roque Saenz Pena,AR,60.57,overcast clouds,-26.79,-60.44,Hotel Aconcagua
357,Morant Bay,JM,86.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
359,Sao Jose Da Coroa Grande,BR,74.88,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
360,Stillwater,US,77.0,clear sky,36.12,-97.06,Hampton Inn & Suites Stillwater
361,Krasnyy Oktyabr,RU,46.49,clear sky,56.12,38.88,Priozernaya Hotel
362,Talavera,PH,78.8,heavy intensity rain,15.62,120.93,R&G's Resort
363,Portobelo,PA,82.0,broken clouds,9.55,-79.65,Scuba Portobelo
364,Svetlogorsk,BY,55.02,clear sky,52.63,29.73,Hotel Svetlogorsk JBIK
365,Swift Current,CA,59.0,clear sky,50.28,-107.8,"Motel 6 Swift Current, SK"
366,Mbour,SN,78.8,few clouds,14.42,-16.96,Tama Lodge
367,Haines Junction,CA,54.0,clear sky,60.75,-137.51,Parkside Inn
368,Galle,LK,79.54,overcast clouds,6.04,80.22,Amangalla
369,Iracoubo,GF,79.86,clear sky,5.48,-53.2,Le Gite D Iracoubo
370,Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
371,Kiama,AU,70.0,scattered clouds,-34.68,150.87,The Sebel Kiama Harbourside
372,Vestmannaeyjar,IS,48.06,clear sky,63.44,-20.27,Glamping & Camping
373,Davila,PH,82.4,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
374,Sitka,US,62.6,clear sky,57.05,-135.33,Westmark Sitka
375,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
377,Muravlenko,RU,47.48,overcast clouds,63.79,74.52,Hostel Rus Muravlenko
379,Zheleznodorozhnyy,RU,52.0,clear sky,55.75,38.0,Hotel Dali
380,Saldanha,ZA,46.4,clear sky,-33.01,17.94,Blue Bay Lodge
382,Dali,CN,63.88,broken clouds,25.7,100.18,Dali Travelling With Hostel
383,Ximei,CN,82.4,broken clouds,24.96,118.38,Nan'an Hotel
384,Berlevag,NO,46.78,heavy intensity rain,70.86,29.09,Kvitbrakka
385,Keti Bandar,PK,84.76,light rain,24.14,67.45,Haji laloo memon house
386,Bjornevatn,NO,46.4,broken clouds,69.67,29.98,Snowhotel Kirkenes | Gamme Northern Lights Cabins
387,Bontang,ID,80.89,light rain,0.13,117.5,Okra Leaf Guest House Syariah
388,Nong Phai,TH,80.74,few clouds,15.99,101.06,เอ็ม.เจ รีสอร์ท
389,Graham,US,72.0,haze,47.05,-122.29,Moxie Meadows Hostel
390,Kavaratti,IN,81.34,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
391,Krasnoselkup,RU,48.34,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
392,Margate,GB,66.99,clear sky,51.38,1.39,Premier Inn Margate hotel
393,Byron Bay,AU,72.0,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
394,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
395,Uvira,CD,76.59,clear sky,-3.41,29.15,Auberge Eden City
397,Valparaiso,CL,51.8,clear sky,-33.04,-71.63,Hotel Ultramar
398,Langfang,CN,68.0,heavy intensity rain,39.51,116.69,Wanda Realm Langfang
399,Half Moon Bay,US,73.4,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
