Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Odoyev,RU,53.94,36.69,51.66,95,37,8.28,scattered clouds
146,Slave Lake,CA,55.28,-114.77,42.8,87,90,5.82,overcast clouds
147,Pamanukan,ID,-6.28,107.81,83.88,55,100,5.84,overcast clouds
148,Liepaja,LV,56.54,21.04,59.0,100,0,5.82,clear sky
149,Leua,SK,48.22,18.61,66.99,78,0,4.61,clear sky
150,Linxia,CN,35.6,103.21,52.45,61,12,2.37,few clouds
151,Makakilo City,US,21.35,-158.09,87.8,55,1,12.75,clear sky
152,Waipawa,NZ,-41.41,175.52,60.8,48,0,20.8,clear sky
153,Cabo San Lucas,MX,22.89,-109.91,89.01,74,20,12.75,few clouds
154,Mokhsogollokh,RU,61.47,128.92,53.89,56,1,7.63,clear sky
155,Coihaique,CL,-45.58,-72.07,46.4,70,75,8.05,broken clouds
156,Palembang,ID,-2.92,104.75,77.0,88,20,3.36,few clouds
157,Kutum,SD,14.2,24.67,74.88,66,42,7.34,scattered clouds
158,Kavieng,PG,-2.57,150.8,84.76,74,90,14.45,light rain
159,Awjilah,LY,29.11,21.29,82.49,35,0,8.39,clear sky
160,Comodoro Rivadavia,AR,-45.87,-67.5,55.92,50,100,36.44,overcast clouds
161,Livingston,GB,55.9,-3.52,60.01,93,100,2.24,overcast clouds
162,Shache,CN,38.42,77.24,64.15,34,100,4.14,overcast clouds
163,Hambantota,LK,6.12,81.12,77.0,100,20,4.7,few clouds
164,Anadyr,RU,64.75,177.48,50.0,81,75,17.9,broken clouds
165,Yellowknife,CA,62.46,-114.35,48.2,61,75,11.41,broken clouds
166,Starogard Gdanski,PL,53.96,18.53,57.99,93,92,1.12,overcast clouds
167,Hithadhoo,MV,-0.6,73.08,81.21,66,100,3.87,overcast clouds
168,Arlit,NE,18.74,7.39,95.0,13,0,6.4,clear sky
169,Guerrero Negro,MX,27.98,-114.06,83.28,41,0,17.58,clear sky
170,Necochea,AR,-38.55,-58.74,46.99,53,0,13.0,clear sky
171,Basco,PH,20.45,121.97,84.67,81,28,13.47,scattered clouds
172,Presidente Medici,BR,-11.18,-61.9,84.97,19,0,5.1,clear sky
173,Khani,GE,41.96,42.96,73.4,94,75,2.24,broken clouds
174,Bahia De Caraquez,EC,-0.6,-80.42,75.2,83,75,11.41,broken clouds
175,Inirida,CO,3.87,-67.92,75.42,94,51,2.46,broken clouds
176,Coffs Harbour,AU,-30.3,153.13,71.6,68,17,12.75,few clouds
177,Ingham,US,42.6,-84.38,55.0,87,1,4.32,clear sky
178,Ilulissat,GL,69.22,-51.1,30.2,36,0,8.05,clear sky
179,Katherine,AU,-14.47,132.27,87.8,33,41,13.87,scattered clouds
180,Beringovskiy,RU,63.05,179.32,47.66,84,43,2.15,scattered clouds
181,Aripuana,BR,-9.17,-60.63,82.11,27,9,1.36,clear sky
182,Ewa Beach,US,21.32,-158.01,87.8,55,1,12.75,clear sky
183,Wasilla,US,61.58,-149.44,60.8,55,1,2.04,clear sky
184,Montepuez,MZ,-13.13,39.0,64.36,98,78,3.11,broken clouds
185,Beloostrov,RU,60.15,30.0,52.0,86,5,9.95,clear sky
186,Sicamous,CA,50.83,-118.99,72.0,72,100,2.55,overcast clouds
187,Kruisfontein,ZA,-34.0,24.73,50.0,70,0,1.01,clear sky
188,Potiskum,NG,11.71,11.07,73.4,86,95,8.05,overcast clouds
189,Dingle,PH,11.0,122.67,73.9,96,100,3.44,light rain
190,Saint George,US,37.1,-113.58,96.8,8,1,9.17,clear sky
191,Tuatapere,NZ,-46.13,167.68,46.99,76,100,7.0,overcast clouds
192,Nanortalik,GL,60.14,-45.24,41.74,74,100,33.11,light rain
193,Zhuhai,CN,22.28,113.57,82.4,83,40,8.05,light rain
194,Turbat,PK,26.0,63.04,85.17,13,12,10.0,few clouds
195,Sibolga,ID,1.74,98.78,80.89,66,94,2.73,overcast clouds
196,Callaway,US,30.15,-85.57,77.0,94,90,14.99,heavy intensity rain
